incident_name,incident_is_final,incident_date_last_update,incident_date_created,incident_administrative_unit,incident_administrative_unit_url,incident_county,incident_location,incident_acres_burned,incident_containment,incident_control,incident_cooperating_agencies,incident_longitude,incident_latitude,incident_type,incident_id,incident_url,incident_date_extinguished,incident_dateonly_extinguished,incident_dateonly_created,is_active,calfire_incident,notification_desired,DayAirTmpAvg,DayPrecip,DayRelHumAvg,DaySoilTmpAvg,DayWindSpdAvg
California Fire,Y,2013-06-18T22:30:00Z,2013-06-18T15:18:00Z,CAL FIRE Sanoma-Lake-Napa Unit,,Solano,"Off Lake Herman Rd, west of Hwy 680 in Benicia",124.0,100.0,,CAL FIRE Sanoma-Lake-Napa Unit,-122.13802,38.08744,,2b403f03-fe84-450a-90b7-befb8acc7e70,https://www.fire.ca.gov/incidents/2013/6/18/california-fire/,2013-06-18T22:30:00Z,2013-06-18,2013-06-18,N,True,False,,,,,
Sierra Fire,Y,2013-06-19T08:45:00Z,2013-06-17T14:41:00Z,CAL FIRE/Fresno County Fire,,Fresno,"Black Mountain Road at Lodge Road near Sierra High School, southeast of Auberry",46.0,100.0,,CAL FIRE/Fresno County Fire,-119.463757,37.03087,,15e7e15d-f707-473e-b0f3-6534cfd845b7,https://www.fire.ca.gov/incidents/2013/6/17/sierra-fire/,2013-06-19T08:45:00Z,2013-06-19,2013-06-17,N,True,False,26.7,0.0,32.0,22.8,4.4
George Fire,Y,2013-06-25T17:15:00Z,2013-06-25T13:36:00Z,CAL FIRE/Fresno County Fire,,Fresno,off Bronco Lane in Squaw Valley,150.0,100.0,,CAL FIRE/Fresno County Fire,-119.2248,36.7218,,23ec2f69-da30-4983-80c2-1f04bfea6f9a,https://www.fire.ca.gov/incidents/2013/6/25/george-fire/,2013-06-25T17:15:00Z,2013-06-25,2013-06-25,N,True,False,25.3,0.0,54.0,22.6,2.7
Mount Fire,Y,2013-06-20T13:15:00Z,2013-06-20T14:29:00Z,CAL FIRE Sanoma-Lake-Napa Unit,,Lake,"Off Konocti Rd & Oak Hills Ln, east of Kelseyville",25.0,100.0,,CAL FIRE Sanoma-Lake-Napa Unit,-122.81796,38.98058,,d489b45e-dcba-4eaa-8bb5-6a23255562da,https://www.fire.ca.gov/incidents/2013/6/20/mount-fire/,2013-06-20T13:15:00Z,2013-06-20,2013-06-20,N,True,False,,,,,
Mills Fire,Y,2022-10-24T11:35:12Z,2013-06-28T14:30:00Z,CAL FIRE San Bernardino Unit/ City of Redlands/San Bernardino Sheriff,,San Bernardino,"south of Highway 38 & Bryant Street, northwest of Yucaipa ",534.0,100.0,,CAL FIRE San Bernardino Unit/ City of Redlands/San Bernardino Sheriff,-117.048397,34.071556,,6011819c-19ac-46c2-aa48-0ee8be0e48c0,https://www.fire.ca.gov/incidents/2013/6/28/mills-fire/,2013-07-01T06:00:00Z,2013-07-01,2013-06-28,N,True,False,,,,,
Concord Fire,Y,2013-07-01T18:30:00Z,2013-07-01T15:41:00Z,CAL FIRE Santa Clara Unit,,Contra Costa,off Concord Ave & Vineyard Parkway in Brentwood,274.0,100.0,,CAL FIRE Santa Clara Unit,-121.74367,39.90465,,95399a9c-8b3e-4413-9f56-5ed57d3d81b3,https://www.fire.ca.gov/incidents/2013/7/1/concord-fire/,2013-07-01T18:30:00Z,2013-07-01,2013-07-01,N,True,False,,,,,
Freeman Fire,Y,2013-06-29T18:30:00Z,2013-06-29T14:09:00Z,CAL FIRE San Benito-Monterey Unit ,,Monterey,"off Hwy 198, 10 miles east of King City",105.0,100.0,,CAL FIRE San Benito-Monterey Unit ,-120.8973,36.1531,,58317b8d-7f4d-466f-b2c7-035c25fb00f0,https://www.fire.ca.gov/incidents/2013/6/29/freeman-fire/,2013-06-29T18:30:00Z,2013-06-29,2013-06-29,N,True,False,15.3,0.0,85.0,18.5,3.1
Kirker Fire,Y,2022-10-24T11:37:51Z,2013-07-01T13:19:00Z,CAL FIRE Santa Clara Unit,,Contra Costa,Kirker Pass Road south of Pittsburg,492.0,100.0,,CAL FIRE Santa Clara Unit,-121.91453,37.96866,,522114fe-ada8-49a9-9bb2-5891103ff0ca,https://www.fire.ca.gov/incidents/2013/7/1/kirker-fire/,2013-07-01T18:40:00Z,2013-07-01,2013-07-01,N,True,False,,,,,
Northern Region July Lightning,Y,2013-07-04T10:45:00Z,2013-07-02T12:00:00Z,CAL FIRE Northern Region,,,Throughout northeastern California,754.0,100.0,,CAL FIRE Northern Region,-121.5747,39.9845,,42690ee2-a5ed-4320-9a55-d5ff3d1a80f5,https://www.fire.ca.gov/incidents/2013/7/2/northern-region-july-lightning/,2013-07-04T10:45:00Z,2013-07-04,2013-07-02,N,True,False,,,,,
Fox Fire (formally 3-7 Fire),Y,2013-07-05T18:30:00Z,2013-07-03T22:56:00Z,CAL FIRE Lassen-Modoc Unit,,Modoc,5 miles northwest of Aiden,502.0,100.0,,CAL FIRE Lassen-Modoc Unit,-121.035,41.2415,,8b51033d-abc6-4ea4-8983-990ad4e1c45e,https://www.fire.ca.gov/incidents/2013/7/3/fox-fire-formally-3-7-fire/,2013-07-05T18:30:00Z,2013-07-05,2013-07-03,N,True,False,,,,,
Vina Fire,Y,2013-07-04T10:30:00Z,2013-07-04T07:30:00Z,CAL FIRE Tehama-Glenn Unit,,Tehama,"Tehama-Vina Rd and Sherman Rd, Los Molinos",200.0,100.0,,CAL FIRE Tehama-Glenn Unit,-122.079871,40.012398,,c94959d7-eb88-4724-8feb-ba0662afca10,https://www.fire.ca.gov/incidents/2013/7/4/vina-fire/,2013-07-04T10:30:00Z,2013-07-04,2013-07-04,N,True,False,,,,,
Grant Fire,Y,2013-07-04T11:30:00Z,2013-07-04T10:00:00Z,CAL FIRE Santa Clara Unit,,Alameda,"off Grant Ln Rd & I-580 in the Altamont Pass, 5 miles west of Tracy",50.0,100.0,,CAL FIRE Santa Clara Unit,-121.5869,37.7393,,07fb8b11-f39b-4cd0-8a27-2d4fef7fe680,https://www.fire.ca.gov/incidents/2013/7/4/grant-fire/,2013-07-04T11:30:00Z,2013-07-04,2013-07-04,N,True,False,,,,,
Fallon Fire,Y,2013-07-06T14:30:00Z,2013-07-06T13:09:00Z,CAL FIRE Santa Clara Unit / Alameda County Fire,,Alameda,off Fallon Rd & Camino Tassajara near Dublin ,38.0,100.0,,CAL FIRE Santa Clara Unit / Alameda County Fire,-121.86216,37.74241,,4c04a4e5-f580-4e62-bb53-2575c72d29dc,https://www.fire.ca.gov/incidents/2013/7/6/fallon-fire/,2013-07-06T14:30:00Z,2013-07-06,2013-07-06,N,True,False,,,,,
Chariot Fire,Y,2013-07-15T06:15:00Z,2013-07-06T12:55:00Z,CAL FIRE San Diego Unit / Cleveland National Forest,,San Diego,"off Sunrise Hwy, 9 miles southeast of Julian",7055.0,100.0,,"CAL FIRE San Diego Unit / Cleveland National Forest, CAL FIRE, USFS Cleveland NF, CHP, San Diego County Fire Authority, San Diego County Sheriff, California State Parks",-116.47381,32.95435,,ee19b2ec-a96a-4738-994e-fb3ea016e053,https://www.fire.ca.gov/incidents/2013/7/6/chariot-fire/,2013-07-15T06:15:00Z,2013-07-15,2013-07-06,N,True,False,19.7,0.0,80.0,24.8,1.4
Adelaida Fire,Y,2013-07-07T22:00:00Z,2013-07-07T13:16:00Z,CAL FIRE San Luis Obispo,,San Luis Obispo,"off Adelaida Rd & Vineyard Dr, west of Paso Robles",85.0,100.0,,CAL FIRE San Luis Obispo,-120.83417,35.62743,,a97d2b3a-3a53-424f-852c-5f1b8d199cc3,https://www.fire.ca.gov/incidents/2013/7/7/adelaida-fire/,2013-07-07T22:00:00Z,2013-07-07,2013-07-07,N,True,False,16.2,0.0,71.0,21.1,1.4
McGanney Fire,Y,2013-07-08T17:30:00Z,2013-07-08T09:59:00Z,CAL FIRE Nevada-Placer-Yuba Unit,,Yuba,"off Highway 20 and McGanney Lane, west of Smartsville",73.0,100.0,,CAL FIRE Nevada-Placer-Yuba Unit,-121.31634,39.206,,397ed8e6-6088-4e03-9316-8f50c65a83be,https://www.fire.ca.gov/incidents/2013/7/8/mcganney-fire/,2013-07-08T17:30:00Z,2013-07-08,2013-07-08,N,True,False,,,,,
Fiddler Fire,Y,2013-07-09T15:00:00Z,2013-07-09T11:59:00Z,CAL FIRE Shasta-Trinity Unit,,Shasta,off Fiddler,43.0,100.0,,CAL FIRE Shasta-Trinity Unit,-122.7338,40.373,,3f64fc8a-8870-4e64-b60a-3e13c8532acd,https://www.fire.ca.gov/incidents/2013/7/9/fiddler-fire/,2013-07-09T15:00:00Z,2013-07-09,2013-07-09,N,True,False,,,,,
Kyburz Fire,Y,2013-07-11T18:30:00Z,2013-07-08T12:45:00Z,Eldorado National Forest,,El Dorado,"Off Hwy 50 at 30 Mile Tract, Kyburz",572.0,100.0,,Eldorado National Forest,-120.298,38.774,,d778a3f0-2d23-43c1-b9bc-1ea33898fab2,https://www.fire.ca.gov/incidents/2013/7/8/kyburz-fire/,2013-07-11T18:30:00Z,2013-07-11,2013-07-08,N,False,False,,,,,
Uvas Fire,Y,2013-07-12T17:45:00Z,2013-07-12T13:09:00Z,CAL FIRE Santa Clara Unit,,Santa Clara,"Uvas Road and Casa Loma Road, near Calero County Park,  west of Morgan Hill",50.0,100.0,,CAL FIRE Santa Clara Unit,-121.7804,37.1438,,e779a754-29fd-472f-8d29-46cfee32d3c2,https://www.fire.ca.gov/incidents/2013/7/12/uvas-fire/,2013-07-12T17:45:00Z,2013-07-12,2013-07-12,N,True,False,,,,,
Diablo Fire,Y,2013-07-13T21:45:00Z,2013-07-12T15:35:00Z,CAL FIRE Santa Clara Unit,,Stanislaus,"off Diablo Grande Parkway, west of I-5, southwest of Patterson",150.0,100.0,,CAL FIRE Santa Clara Unit,-121.1955,37.436,,873074c8-4b6d-417b-a78c-1d1430027805,https://www.fire.ca.gov/incidents/2013/7/12/diablo-fire/,2013-07-13T21:45:00Z,2013-07-13,2013-07-12,N,True,False,,,,,
Mountain Fire,Y,2022-10-24T11:38:10Z,2013-07-15T13:43:00Z,CAL FIRE Riverside Unit / San Bernardino National Forest,,Riverside,Hwy 243 & Hwy 74 near Mountain Center,27531.0,100.0,,CAL FIRE Riverside Unit / San Bernardino National Forest,-116.72885,33.7095,,a3149fec-4d48-427c-8b2c-59e8b79d59db,https://www.fire.ca.gov/incidents/2013/7/15/mountain-fire/,2013-07-30T18:00:00Z,2013-07-30,2013-07-15,N,True,False,25.2,0.0,45.0,23.9,1.9
Orleans Complex,Y,2013-08-03T15:00:00Z,2013-08-03T08:00:00Z,Six Rivers National Forest,,Humboldt,"10 miles east of Somes Bar, California",0.0,100.0,,Six Rivers National Forest,-123.376,41.333,,7d4f107b-66a9-43d2-819d-ec855c2947bf,https://www.fire.ca.gov/incidents/2013/8/3/orleans-complex/,2013-08-03T15:00:00Z,2013-08-03,2013-08-03,N,False,False,,,,,
Silverwood Fire,Y,2013-07-26T18:15:00Z,2013-07-25T15:09:00Z,San Bernardino County Fire,,San Bernardino, Hwy 138 west of Hwy 173,75.0,100.0,,San Bernardino County Fire,-117.352,34.316,,ed51bbd2-6f8e-4f46-9073-3673a583fada,https://www.fire.ca.gov/incidents/2013/7/25/silverwood-fire/,2013-07-26T18:15:00Z,2013-07-26,2013-07-25,N,True,False,,,,,
Flume Fire,Y,2013-07-28T17:50:00Z,2013-07-28T09:43:00Z,CAL FIRE San Diego Unit,,San Diego,Barrett Lake Road and Highway 94,25.0,100.0,,CAL FIRE San Diego Unit,-116.707335,32.612773,,c6cfeed9-55bb-4fdb-8a52-e4d947dba721,https://www.fire.ca.gov/incidents/2013/7/28/flume-fire/,2013-07-28T17:50:00Z,2013-07-28,2013-07-28,N,True,False,18.0,0.0,79.0,24.6,1.6
Aspen Fire,Y,2013-09-24T20:15:00Z,2013-07-22T22:15:00Z,Sierra National Forest,,Fresno,Seven miles north of Big Creek,22992.0,100.0,,Sierra National Forest,-119.318,37.279,,bee8c339-4f26-4b78-a5b4-a8a0ebdb8786,https://www.fire.ca.gov/incidents/2013/7/22/aspen-fire/,2013-09-24T20:15:00Z,2013-09-24,2013-07-22,N,False,False,26.8,0.1,43.0,27.2,2.4
Salmon River Complex,Y,2013-08-31T06:45:00Z,2013-07-31T22:00:00Z,Klamath National Forest,,Siskiyou,"North Fork of the Salmon River, West of Sawyers Bar, Klamath National Forest",14754.0,100.0,,Klamath National Forest,-123.176,41.32,,ba76c009-09c9-497c-b923-1ac8cf05c20d,https://www.fire.ca.gov/incidents/2013/7/31/salmon-river-complex/,2013-08-31T06:45:00Z,2013-08-31,2013-07-31,N,False,False,,,,,
Branch Fire,Y,2013-08-04T14:45:00Z,2013-08-01T16:01:00Z,CAL FIRE Butte Unit,,Butte,Near Rocky Peak - North Fork Lake Oroville near Cherokee,92.0,100.0,,CAL FIRE Butte Unit,-121.50354,39.6612,,0b51d3d5-bb3a-426d-9c12-c1878a01d7cf,https://www.fire.ca.gov/incidents/2013/8/1/branch-fire/,2013-08-04T14:45:00Z,2013-08-04,2013-08-01,N,True,False,,,,,
Redlands Fire,Y,2013-07-17T07:45:00Z,2013-07-16T17:48:00Z,CAL FIRE / Riverside County Fire,,Riverside,"Redlands Boulevard and San Timoteo Canyon Road, north of Moreno Valley",150.0,100.0,,CAL FIRE / Riverside County Fire,-117.164997,33.990128,,d48a839f-d8da-44d7-9b35-b9f61aa28c61,https://www.fire.ca.gov/incidents/2013/7/16/redlands-fire/,2013-07-17T07:45:00Z,2013-07-17,2013-07-16,N,True,False,23.9,0.0,34.0,23.6,2.0
Relay Fire,Y,2013-08-04T18:00:00Z,2013-08-04T16:29:00Z,CAL FIRE/Riverside County  Fire,,Riverside,"near Mt. David, south of Beaumont",60.0,100.0,,CAL FIRE/Riverside County  Fire,-116.99895,33.91027,,0658b1f8-5323-4152-b6d1-b208736587db,https://www.fire.ca.gov/incidents/2013/8/4/relay-fire/,2013-08-04T18:00:00Z,2013-08-04,2013-08-04,N,True,False,21.9,0.0,54.0,22.2,1.7
Water Fire,Y,2013-07-25T18:30:00Z,2013-07-23T09:15:00Z,Kern County Fire,,Kern,West side of Interstate 5 at Tejon Ranch,612.0,100.0,,Kern County Fire,-118.93388,34.90327,,86faecab-ed3a-4fce-95cf-89433a825c72,https://www.fire.ca.gov/incidents/2013/7/23/water-fire/,2013-07-25T18:30:00Z,2013-07-25,2013-07-23,N,True,False,,,,,
Pratt Fire,Y,2013-07-23T16:00:00Z,2013-07-23T13:29:00Z,CAL FIRE Mendocino Unit,,Mendocino,"Hwy 175 & Pratt Ranch Road, East of Hopland ",45.0,100.0,,CAL FIRE Mendocino Unit,-123.067671,38.980846,,f1d7f375-8aa3-4cb5-a864-bae9bb90cbd1,https://www.fire.ca.gov/incidents/2013/7/23/pratt-fire/,2013-07-23T16:00:00Z,2013-07-23,2013-07-23,N,True,False,,,,,
Rancho Fire,Y,2022-10-24T11:42:25Z,2013-07-19T12:00:00Z,CAL FIRE / Kern County Fire / State Parks / US Forest Service,,Kern,West side of Interstate 5 in Lebec (Kern County),500.0,100.0,Oak Knolls Road,"CAL FIRE / Kern County Fire / State Parks / US Forest Service, Cal Fire, United States Forest Service, Ventura County Fire, Kern County Sheriff Department, Calif State Parks, Calif Highway Patrol",-118.9194,34.882,,591a56a5-e9c0-45a0-96bd-34098588c39b,https://www.fire.ca.gov/incidents/2013/7/19/rancho-fire/,2013-07-22T18:45:00Z,2013-07-22,2013-07-19,N,True,False,,,,,
Paskenta Fire,Y,2013-07-19T15:00:00Z,2013-07-19T13:32:00Z,CAL FIRE Tehama-Glenn Unit,,Tehama,West of Corning,195.0,100.0,,CAL FIRE Tehama-Glenn Unit,-122.330879,39.961309,,4423899b-6197-4ef5-9f73-bca1763f17e6,https://www.fire.ca.gov/incidents/2013/7/19/paskenta-fire/,2013-07-19T15:00:00Z,2013-07-19,2013-07-19,N,True,False,,,,,
Lakeville Fire,Y,2013-07-26T17:45:00Z,2013-07-26T13:45:00Z,CAL FIRE Sonoma-Lake-Napa Unit,,Sonoma,"Off Lakeville Hwy, 6 miles SE of Petaluma",158.0,100.0,,CAL FIRE Sonoma-Lake-Napa Unit,-122.51253,38.17693,,c9b5d1ff-c042-4b39-8bac-b10fb6fc6c13,https://www.fire.ca.gov/incidents/2013/7/26/lakeville-fire/,2013-07-26T17:45:00Z,2013-07-26,2013-07-26,N,True,False,23.1,0.0,63.0,25.3,2.6
50 Fire,Y,2013-07-19T17:15:00Z,2013-07-19T14:12:00Z,CAL FIRE / Sacramento Metropolitan Fire,,"El Dorado, Sacramento",South of Hwy 50 at the El Dorado and Sacramento County line,163.0,100.0,,CAL FIRE / Sacramento Metropolitan Fire,-121.08438,38.63987,,4630e9ce-88ec-4159-9bc9-25ff5f8216cc,https://www.fire.ca.gov/incidents/2013/7/19/50-fire/,2013-07-19T17:15:00Z,2013-07-19,2013-07-19,N,True,False,,,,,
Heacock Fire,Y,2013-07-20T19:30:00Z,2013-07-19T16:21:00Z,CAL FIRE / Riverside County Fire,,Riverside,Heacock St & Sandy Glade Ave in Moreno Valley,40.0,100.0,,CAL FIRE / Riverside County Fire,-117.2508,33.9634,,8fb3a438-3146-4b8d-8f20-bfa8d6610f84,https://www.fire.ca.gov/incidents/2013/7/19/heacock-fire/,2013-07-20T19:30:00Z,2013-07-20,2013-07-19,N,True,False,24.2,0.0,48.0,22.9,1.9
Gilman Fire,Y,2013-07-19T19:30:00Z,2013-07-19T17:31:00Z,CAL FIRE / Riverside County Fire,,Riverside,"Hwy 60 east of Gilman Springs Rd, east of Moreno Valley",15.0,100.0,,CAL FIRE / Riverside County Fire,-117.09306,33.94528,,2b300dd5-4474-4b8a-9b4c-3a3014afe27d,https://www.fire.ca.gov/incidents/2013/7/19/gilman-fire/,2013-07-19T19:30:00Z,2013-07-19,2013-07-19,N,True,False,24.2,0.0,48.0,22.9,1.9
Chuckwagon Fire,Y,2013-07-23T15:10:00Z,2013-07-22T12:34:00Z,CAL FIRE Tuolumne-Calaveras Unit,,Calaveras,"near the 4500 block of Chuckwagon Drive, Copperopolis",31.0,100.0,,CAL FIRE Tuolumne-Calaveras Unit,-120.696362,37.965364,,68dadbb3-6a63-483a-add9-491a69d9e0ad,https://www.fire.ca.gov/incidents/2013/7/22/chuckwagon-fire/,2013-07-23T15:10:00Z,2013-07-23,2013-07-22,N,True,False,,,,,
Power Fire,Y,2013-08-14T08:30:00Z,2013-08-05T06:00:00Z,Stanislaus National Forest,,Tuolumne,"Near Beardsley Lake, northeast of Sonora",1070.0,100.0,,Stanislaus National Forest,-120.02778,38.25108,,1e8441c2-f426-40b4-9f4f-3de9f7e232b9,https://www.fire.ca.gov/incidents/2013/8/5/power-fire/,2013-08-14T08:30:00Z,2013-08-14,2013-08-05,N,False,False,,,,,
Falls Fire,Y,2013-08-09T18:45:00Z,2013-08-05T10:10:00Z,Cleveland National Forest / CAL FIRE Riverside Unit,,Riverside,"Ortega Highway, west of Lake Elsinoire",1383.0,100.0,,Cleveland National Forest / CAL FIRE Riverside Unit,-117.40288,33.62236,,4867ac70-663e-48f4-b9ae-ca0a486234ca,https://www.fire.ca.gov/incidents/2013/8/5/falls-fire/,2013-08-09T18:45:00Z,2013-08-09,2013-08-05,N,True,False,22.7,0.0,45.0,22.1,1.8
Tram Fire,Y,2013-08-08T09:00:00Z,2013-08-06T13:39:00Z,San Bernardino National Forest,,Riverside,Off of Hwy 111 & Tramway Rd in Palm Springs,60.0,100.0,,San Bernardino National Forest,-116.61,38.838,,ac568737-dae6-4050-b1f4-62ab1f9ec930,https://www.fire.ca.gov/incidents/2013/8/6/tram-fire/,2013-08-08T09:00:00Z,2013-08-08,2013-08-06,N,False,False,21.5,0.0,48.0,22.0,1.8
Indian Fire,Y,2013-08-07T18:30:00Z,2013-08-07T12:35:00Z,CAL FIRE Sanoma-Lake-Napa Unit,,Lake,"Off Bartlett Springs Road near Indian Valley Reservoir, 10 miles northeast of Clearlake Oaks",38.0,100.0,,CAL FIRE Sanoma-Lake-Napa Unit,-122.5906,39.1591,,b5b63934-923d-4504-a9b1-75c885477a8d,https://www.fire.ca.gov/incidents/2013/8/7/indian-fire/,2013-08-07T18:30:00Z,2013-08-07,2013-08-07,N,True,False,,,,,
Silver Fire,Y,2022-10-24T11:38:40Z,2013-08-07T14:05:00Z,CAL FIRE Riverside Unit / San Bernardino National Forest,,Riverside,"Poppet Flats Rd near Hwy 243, south of Banning",20292.0,100.0,Hwy 243 remains closed between Twin Pines Road and Westley Street in Banning due to road damage.,"CAL FIRE Riverside Unit / San Bernardino National Forest, Federal, State and Local Agencies from throughout the Western United States are assisting.",-116.90427,33.86157,,c400203b-a7fd-4bd8-803a-f3c74bc32a2b,https://www.fire.ca.gov/incidents/2013/8/7/silver-fire/,2013-08-12T18:00:00Z,2013-08-12,2013-08-07,N,True,False,21.3,0.0,48.0,21.7,1.7
Corral Complex,Y,2013-08-12T12:00:00Z,2013-08-10T11:40:00Z,Six Rivers National Forest,,Humboldt,Tish Tang Ridge east of Hoopa Valley Reservation,12503.0,100.0,,Six Rivers National Forest,-123.488,41.035,,f3dcbca8-f8ed-46d0-8f6e-9c7fc2fb03e6,https://www.fire.ca.gov/incidents/2013/8/10/corral-complex/,2013-08-12T12:00:00Z,2013-08-12,2013-08-10,N,False,False,,,,,
Cottonwood Fire,Y,2013-08-15T17:00:00Z,2013-08-15T14:40:00Z,CAL FIRE Siskiyou Unit,,Siskiyou,"Cottonwood Creek Rd., 2 miles north of Hornbrook",50.0,100.0,,CAL FIRE Siskiyou Unit,-122.578393,41.923323,,e16c204e-58d6-4f78-bc97-729b16ef9f83,https://www.fire.ca.gov/incidents/2013/8/15/cottonwood-fire/,2013-08-15T17:00:00Z,2013-08-15,2013-08-15,N,True,False,,,,,
Union Fire,Y,2013-08-16T17:55:00Z,2013-08-16T13:55:00Z,CAL FIRE Amador-El Dorado Unit,,El Dorado,"off Koki Ln and Pleasant Valley Rd, northwest of Diamond Springs",116.0,100.0,,CAL FIRE Amador-El Dorado Unit,-120.839075,38.682378,,db009f8f-8b9d-44bb-a3f6-83f319c84d72,https://www.fire.ca.gov/incidents/2013/8/16/union-fire/,2013-08-16T17:55:00Z,2013-08-16,2013-08-16,N,True,False,,,,,
Sharp Fire,Y,2013-08-13T23:45:00Z,2013-08-08T12:15:00Z,Angeles National Forest,,San Bernardino,Sheep canyon just south of Wrightwood,243.0,100.0,,Angeles National Forest,-117.62,34.35,,62eabea3-40be-497d-94e4-150f011b925f,https://www.fire.ca.gov/incidents/2013/8/8/sharp-fire/,2013-08-13T23:45:00Z,2013-08-13,2013-08-08,N,False,False,,,,,
Cloverdale Fire,Y,2013-08-14T20:35:00Z,2013-08-14T15:37:00Z,CAL FIRE Shasta-Trinity Unit,,Shasta,"Cloverdale Rd. and Dale Rd., Happy Valley, 9 miles SW of Redding",27.0,100.0,,CAL FIRE Shasta-Trinity Unit,-122.48259,40.473356,,0537a175-8fe9-4f5f-b56f-77848fa195f4,https://www.fire.ca.gov/incidents/2013/8/14/cloverdale-fire/,2013-08-14T20:35:00Z,2013-08-14,2013-08-14,N,True,False,,,,,
Swedes Fire,Y,2022-10-24T11:43:04Z,2013-08-16T16:37:00Z,CAL FIRE Butte Unit,,Butte,southeast of Oroville,2264.0,100.0,,"CAL FIRE Butte Unit, United States Forest Service, Oroville Fire Department, El Medio Fire Department, Chico Fire Department, Butte County Sheriff, California Highway Patrol, California Office of Emergency Services, California Department of Corrections and Rehabilitation, Bureau of Land Management, South Feather Water and Power, Red Cross, North Valley Animal Rescue Group.",-121.38236,39.446268,,0758e1c0-95ea-47e7-b5c1-5f3ea96bc664,https://www.fire.ca.gov/incidents/2013/8/16/swedes-fire/,2013-08-22T18:00:00Z,2013-08-22,2013-08-16,N,True,False,,,,,
American Fire,Y,2013-08-30T08:00:00Z,2013-08-10T16:30:00Z,Tahoe National Forest,,Placer,"Deadwood Ridge, northeast of Foresthill",27440.0,100.0,,Tahoe National Forest,-120.65,39.12,,8213f5c7-34fa-403b-a4bc-da2ace6e6625,https://www.fire.ca.gov/incidents/2013/8/10/american-fire/,2013-08-30T08:00:00Z,2013-08-30,2013-08-10,N,False,False,,,,,
Coyote Fire,Y,2013-08-12T09:30:00Z,2013-08-09T15:51:00Z,CAL FIRE Lassen-Modoc Unit,,Lassen,"Southeast of Coyote Reservoir, 20 miles southeast of Bieber",97.0,100.0,,CAL FIRE Lassen-Modoc Unit,-120.958126,40.88886,,2b84c8a2-e2e8-45a2-9221-e8075608c218,https://www.fire.ca.gov/incidents/2013/8/9/coyote-fire/,2013-08-12T09:30:00Z,2013-08-12,2013-08-09,N,True,False,,,,,
Pierce Fire,Y,2013-08-16T21:00:00Z,2013-08-16T13:31:00Z,CAL FIRE/Riverside County Fire,,Riverside,Ave 66 and Pierce Street  ,40.0,100.0,,CAL FIRE/Riverside County Fire,-116.10815,33.570291,,f23f8148-6ec4-4885-9729-0dad7c744485,https://www.fire.ca.gov/incidents/2013/8/16/pierce-fire/,2013-08-16T21:00:00Z,2013-08-16,2013-08-16,N,True,False,26.2,0.0,42.0,22.7,1.7
